month,destination,place_id,sampled_reviews_count,avg_reviews_rating,sampled_review_activity_score,total_tiktok_count,total_tiktok_play_count,avg_tiktok_play_count,log_tiktok_count,log_avg_tiktok_play_count,month_sin,month_cos
2025-08-01,lisbon,sample_location_016,4,4.75,19.0,1,568300.0,568300.0,0.6931471805599453,13.250406486917662,-0.8660254037844384,-0.5000000000000004
2025-09-01,hanoi,sample_location_021,2,5.0,10.0,1,81700.0,81700.0,0.6931471805599453,11.310821520675267,-1.0,-1.8369701987210294e-16
2025-10-01,marrakech,sample_location_064,3,5.0,15.0,3,630500.0,210166.66666666663,1.3862943611198906,12.255660903836151,-0.8660254037844386,0.5000000000000001
2025-10-01,reykjavik,sample_location_062,12,4.583333333333333,55.0,1,65700.0,65700.0,0.6931471805599453,11.09286942505702,-0.8660254037844386,0.5000000000000001
2025-11-01,hanoi,sample_location_021,3,4.333333333333333,13.0,1,17300.0,17300.0,0.6931471805599453,9.758519582283522,-0.5000000000000004,0.8660254037844384
2025-11-01,lisbon,sample_location_016,3,5.0,15.0,1,42100.0,42100.0,0.6931471805599453,10.647826772357496,-0.5000000000000004,0.8660254037844384
2025-12-01,hanoi,sample_location_021,1,3.0,3.0,1,919500.0,919500.0,0.6931471805599453,13.731586410573502,-2.4492935982947064e-16,1.0
2025-12-01,marrakech,sample_location_064,4,4.5,18.0,3,1935600.0,645200.0,1.3862943611198906,13.377317175138996,-2.4492935982947064e-16,1.0
2025-12-01,reykjavik,sample_location_062,9,4.888888888888889,44.0,1,14300.0,14300.0,0.6931471805599453,9.568084743872936,-2.4492935982947064e-16,1.0
2026-01-01,hanoi,sample_location_021,5,4.8,24.0,2,300700.0,150350.0,1.0986122886681098,11.92072783954188,0.4999999999999999,0.8660254037844387
2026-01-01,marrakech,sample_location_064,5,4.4,22.0,3,244872.0,81624.0,1.3862943611198906,11.309890866578732,0.4999999999999999,0.8660254037844387
2026-02-01,marrakech,sample_location_064,6,4.833333333333333,29.0,3,105763.0,35254.333333333336,1.3862943611198906,10.470372097032095,0.8660254037844386,0.5000000000000001
2026-02-01,marrakech,sample_location_065,8,4.75,38.0,1,32400.0,32400.0,0.6931471805599453,10.385944565501662,0.8660254037844386,0.5000000000000001
2026-03-01,hanoi,sample_location_021,4,5.0,20.0,2,101400.0,50700.0,1.0986122886681098,10.83370091325064,1.0,6.123233995736766e-17
2026-03-01,hanoi,sample_location_036,22,3.909090909090909,86.0,3,361200.0,120400.0,1.3862943611198906,11.698583117470209,1.0,6.123233995736766e-17
2026-03-01,marrakech,sample_location_044,3,4.333333333333333,13.0,1,2063.0,2063.0,0.6931471805599453,7.632401126601453,1.0,6.123233995736766e-17
2026-03-01,marrakech,sample_location_064,2,5.0,10.0,2,727913.0,363956.5,1.0986122886681098,12.804792381560343,1.0,6.123233995736766e-17
2026-03-01,marrakech,sample_location_065,32,4.15625,133.0,1,430100.0,430100.0,0.6931471805599453,12.971775343809814,1.0,6.123233995736766e-17
2026-03-01,reykjavik,sample_location_034,5,4.8,24.0,1,1065.0,1065.0,0.6931471805599453,6.97166860472579,1.0,6.123233995736766e-17
2026-03-01,reykjavik,sample_location_035,25,4.48,112.0,1,26200.0,26200.0,0.6931471805599453,10.173552856959745,1.0,6.123233995736766e-17
2026-03-01,reykjavik,sample_location_062,8,5.0,40.0,1,4264.0,4264.0,0.6931471805599453,8.35819745992578,1.0,6.123233995736766e-17
2026-04-01,hanoi,sample_location_021,1,3.0,3.0,4,257300.0,64325.0,1.6094379124341005,11.071719183084294,0.8660254037844387,-0.4999999999999998
2026-04-01,hanoi,sample_location_036,35,3.942857142857143,138.0,2,137500.0,68750.0,1.0986122886681098,11.13824656087758,0.8660254037844387,-0.4999999999999998
2026-04-01,lisbon,sample_location_002,1,5.0,5.0,1,87800.0,87800.0,0.6931471805599453,11.382828169079987,0.8660254037844387,-0.4999999999999998
2026-04-01,lisbon,sample_location_008,21,5.0,105.0,1,238700.0,238700.0,0.6931471805599453,12.382967001677176,0.8660254037844387,-0.4999999999999998
2026-04-01,lisbon,sample_location_040,29,4.517241379310345,131.0,1,67000.0,67000.0,0.6931471805599453,11.112462823634855,0.8660254037844387,-0.4999999999999998
2026-04-01,lisbon,sample_location_061,7,4.142857142857143,29.000000000000004,1,87800.0,87800.0,0.6931471805599453,11.382828169079987,0.8660254037844387,-0.4999999999999998
2026-04-01,marrakech,sample_location_044,2,5.0,10.0,1,328400.0,328400.0,0.6931471805599453,12.701990701622766,0.8660254037844387,-0.4999999999999998
2026-04-01,marrakech,sample_location_056,10,4.5,45.0,15,1769951.0,117996.73333333334,2.772588722239781,11.67842069422376,0.8660254037844387,-0.4999999999999998
2026-04-01,marrakech,sample_location_064,7,4.571428571428571,32.0,3,53200.0,17733.333333333332,1.3862943611198906,9.783257776049158,0.8660254037844387,-0.4999999999999998
2026-04-01,reykjavik,sample_location_014,21,4.9523809523809526,104.0,2,5872.0,2936.0,1.0986122886681098,7.98514393119862,0.8660254037844387,-0.4999999999999998
2026-04-01,reykjavik,sample_location_034,8,5.0,40.0,1,1804.0,1804.0,0.6931471805599453,7.498315870766981,0.8660254037844387,-0.4999999999999998
2026-04-01,reykjavik,sample_location_047,1,4.0,4.0,1,190.0,190.0,0.6931471805599453,5.25227342804663,0.8660254037844387,-0.4999999999999998
2026-04-01,reykjavik,sample_location_062,4,5.0,20.0,2,5885.0,2942.5,1.0986122886681098,7.987354628468316,0.8660254037844387,-0.4999999999999998
2026-05-01,hanoi,sample_location_021,2,5.0,10.0,3,129710.0,43236.666666666664,1.3862943611198906,10.674467307916611,0.4999999999999999,-0.8660254037844387
2026-05-01,hanoi,sample_location_036,26,3.769230769230769,98.0,3,43804.0,14601.333333333334,1.3862943611198906,9.588936612278594,0.4999999999999999,-0.8660254037844387
2026-05-01,hanoi,sample_location_038,27,4.777777777777778,129.0,5,966041.0,193208.2,1.791759469228055,12.171528818674425,0.4999999999999999,-0.8660254037844387
2026-05-01,hanoi,sample_location_039,33,4.151515151515151,137.0,1,16300.0,16300.0,0.6931471805599453,9.69898173460629,0.4999999999999999,-0.8660254037844387
2026-05-01,lisbon,sample_location_040,20,4.1,82.0,1,13000.0,13000.0,0.6931471805599453,9.472781556562168,0.4999999999999999,-0.8660254037844387
2026-05-01,marrakech,sample_location_015,12,4.25,51.0,1,315600.0,315600.0,0.6931471805599453,12.662234036516644,0.4999999999999999,-0.8660254037844387
2026-05-01,marrakech,sample_location_037,24,3.4583333333333335,83.0,5,388259.0,77651.8,1.791759469228055,11.260002887166896,0.4999999999999999,-0.8660254037844387
2026-05-01,marrakech,sample_location_046,28,4.857142857142857,136.0,2,345100.0,172550.0,1.0986122886681098,12.058448123930972,0.4999999999999999,-0.8660254037844387
2026-05-01,marrakech,sample_location_056,54,4.37037037037037,236.0,18,7144519.0,396917.72222222225,2.9444389791664403,12.89148680879046,0.4999999999999999,-0.8660254037844387
2026-05-01,marrakech,sample_location_060,11,3.8181818181818183,42.0,3,394006.0,131335.33333333334,1.3862943611198906,11.785516741990666,0.4999999999999999,-0.8660254037844387
2026-05-01,marrakech,sample_location_064,9,4.888888888888889,44.0,4,339966.0,84991.5,1.6094379124341005,11.350318296285373,0.4999999999999999,-0.8660254037844387
2026-05-01,reykjavik,sample_location_012,7,5.0,35.0,4,1304342.0,326085.5,1.6094379124341005,12.69491796257641,0.4999999999999999,-0.8660254037844387
2026-05-01,reykjavik,sample_location_018,15,4.133333333333334,62.00000000000001,1,1124.0,1124.0,0.6931471805599453,7.025538314638521,0.4999999999999999,-0.8660254037844387
2026-05-01,reykjavik,sample_location_019,9,4.888888888888889,44.0,4,5295.0,1323.75,1.6094379124341005,7.188979041372871,0.4999999999999999,-0.8660254037844387
2026-05-01,reykjavik,sample_location_062,5,4.2,21.0,5,1324542.0,264908.4,1.791759469228055,12.487143159719292,0.4999999999999999,-0.8660254037844387
2026-06-01,hanoi,sample_location_025,47,4.723404255319149,222.00000000000003,1,378.0,378.0,0.6931471805599453,5.937536205082426,1.2246467991473532e-16,-1.0
2026-06-01,hanoi,sample_location_036,22,4.136363636363637,91.0,2,3633.0,1816.5,1.0986122886681098,7.505217209407674,1.2246467991473532e-16,-1.0
2026-06-01,hanoi,sample_location_038,54,4.888888888888889,264.0,5,1625873.0,325174.6,1.791759469228055,12.692120623090537,1.2246467991473532e-16,-1.0
2026-06-01,hanoi,sample_location_052,15,4.8,72.0,8,93707.0,11713.375,2.1972245773362196,9.36857199911325,1.2246467991473532e-16,-1.0
2026-06-01,hanoi,sample_location_055,44,4.704545454545454,206.99999999999997,14,375778.0,26841.285714285714,2.70805020110221,10.197733748200546,1.2246467991473532e-16,-1.0
2026-06-01,lisbon,sample_location_016,6,4.666666666666667,28.0,4,822055.0,205513.75,1.6094379124341005,12.23327308649836,1.2246467991473532e-16,-1.0
2026-06-01,marrakech,sample_location_003,28,4.571428571428571,128.0,3,121858.0,40619.333333333336,1.3862943611198906,10.612024041238897,1.2246467991473532e-16,-1.0
2026-06-01,marrakech,sample_location_015,75,4.173333333333333,312.99999999999994,3,117784.0,39261.333333333336,1.3862943611198906,10.57802089890528,1.2246467991473532e-16,-1.0
2026-06-01,marrakech,sample_location_046,66,4.575757575757576,302.0,1,728.0,728.0,0.6931471805599453,6.591673732008658,1.2246467991473532e-16,-1.0
2026-06-01,marrakech,sample_location_051,78,3.948717948717949,308.0,1,4458.0,4458.0,0.6931471805599453,8.402679804627477,1.2246467991473532e-16,-1.0
2026-06-01,marrakech,sample_location_056,37,4.324324324324325,160.0,17,1333761.0,78456.5294117647,2.8903717578961645,11.270312730761075,1.2246467991473532e-16,-1.0
2026-06-01,marrakech,sample_location_059,12,4.75,57.0,4,78386.0,19596.5,1.6094379124341005,9.883157286062875,1.2246467991473532e-16,-1.0
2026-06-01,marrakech,sample_location_064,10,4.6,46.0,6,608421.0,101403.5,1.9459101490553132,11.52687274785274,1.2246467991473532e-16,-1.0
2026-06-01,reykjavik,sample_location_004,30,4.466666666666667,134.0,4,7062.0,1765.5,1.6094379124341005,7.4767554667992,1.2246467991473532e-16,-1.0
2026-06-01,reykjavik,sample_location_006,14,4.785714285714286,67.0,1,7893.0,7893.0,0.6931471805599453,8.973858256222792,1.2246467991473532e-16,-1.0
2026-06-01,reykjavik,sample_location_012,51,4.862745098039215,247.99999999999997,3,450813.0,150271.0,1.3862943611198906,11.920202264307658,1.2246467991473532e-16,-1.0
2026-06-01,reykjavik,sample_location_013,37,4.972972972972973,184.0,2,448797.0,224398.5,1.0986122886681098,12.321183224464203,1.2246467991473532e-16,-1.0
2026-06-01,reykjavik,sample_location_014,31,4.903225806451613,152.0,3,101616.0,33872.0,1.3862943611198906,10.430373515848633,1.2246467991473532e-16,-1.0
2026-06-01,reykjavik,sample_location_018,34,4.5,153.0,1,7203.0,7203.0,0.6931471805599453,8.882391706295847,1.2246467991473532e-16,-1.0
2026-06-01,reykjavik,sample_location_019,55,4.581818181818182,252.0,4,30296.0,7574.0,1.6094379124341005,8.93260863037757,1.2246467991473532e-16,-1.0
2026-06-01,reykjavik,sample_location_022,17,4.705882352941177,80.0,7,20305.0,2900.714285714286,2.0794415416798357,7.973056974329201,1.2246467991473532e-16,-1.0
2026-06-01,reykjavik,sample_location_035,13,4.769230769230769,62.0,1,533.0,533.0,0.6931471805599453,6.280395838960195,1.2246467991473532e-16,-1.0
2026-06-01,reykjavik,sample_location_045,48,4.5,216.0,3,448054.0,149351.33333333334,1.3862943611198906,11.914063446778547,1.2246467991473532e-16,-1.0
2026-06-01,reykjavik,sample_location_062,10,4.8,48.0,4,482019.0,120504.75,1.6094379124341005,11.69945274861671,1.2246467991473532e-16,-1.0
2026-06-01,reykjavik,sample_location_066,33,4.909090909090909,162.0,4,32906.0,8226.5,1.6094379124341005,9.015237480817497,1.2246467991473532e-16,-1.0
2026-06-01,reykjavik,sample_location_067,29,4.310344827586207,125.0,3,13242.0,4414.0,1.3862943611198906,8.392763113038061,1.2246467991473532e-16,-1.0
2026-07-01,hanoi,sample_location_011,134,4.58955223880597,615.0,13,1003776.0,77213.53846153847,2.6390573296152584,11.254343040323151,-0.4999999999999998,-0.8660254037844388
2026-07-01,hanoi,sample_location_021,2,5.0,10.0,2,21002.0,10501.0,1.0986122886681098,9.259320994197804,-0.4999999999999998,-0.8660254037844388
2026-07-01,hanoi,sample_location_025,87,4.379310344827586,381.0,1,11000.0,11000.0,0.6931471805599453,9.305741456739437,-0.4999999999999998,-0.8660254037844388
